titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs
The Shawshank Redemption,2h 22m,1994,9.3,2.7M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,"Tim Robbins,Morgan Freeman,Bob Gunton,Tim Robbins,Morgan Freeman,Bob Gunton"
Spirited Away,2h 5m,2001,8.6,783K,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Animation,Adventure,Family","Daveigh Chase,Suzanne Pleshette,Miyu Irino,Daveigh Chase,Suzanne Pleshette,Miyu Irino"
Back to the Future,1h 56m,1985,8.5,1.2M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure,Comedy,Sci-Fi","Michael J. Fox,Christopher Lloyd,Lea Thompson,Michael J. Fox,Christopher Lloyd,Lea Thompson"
Terminator 2: Judgment Day,2h 17m,1991,8.6,1.1M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","Action,Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong"
Dances with Wolves,3h 1m,1990,8.0,274K,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure,Drama,Western","Kevin Costner,Mary McDonnell,Graham Greene,Kevin Costner,Mary McDonnell,Graham Greene"
Dersu Uzala,2h 22m,1975,8.2,32K,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure,Biography,Drama","Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov,Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov"
Aladdin,1h 30m,1992,8.0,433K,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation,Adventure,Comedy","Ron Clements,John Musker,Ted Elliott,Scott Weinger,Robin Williams,Linda Larkin,Ron Clements,John Musker,Ted Elliott,Scott Weinger,Robin Williams,Linda Larkin"
The Help,2h 26m,2011,8.1,470K,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,"Viola Davis,Emma Stone,Octavia Spencer,Viola Davis,Emma Stone,Octavia Spencer"
The Iron Giant,1h 26m,1999,8.1,207K,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation,Action,Adventure","Tim McCanlies,Brad Bird,Ted Hughes,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Tim McCanlies,Brad Bird,Ted Hughes,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston"
Life of Brian,1h 34m,1979,8.0,407K,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,"Graham Chapman,John Cleese,Terry Gilliam,Graham Chapman,John Cleese,Michael Palin,Graham Chapman,John Cleese,Terry Gilliam,Graham Chapman,John Cleese,Michael Palin"
Persona,1h 23m,1966,8.1,123K,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller","Bibi Andersson,Liv Ullmann,Margaretha Krook,Bibi Andersson,Liv Ullmann,Margaretha Krook"
It Happened One Night,1h 45m,1934,8.1,107K,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy,Romance","Clark Gable,Claudette Colbert,Walter Connolly,Clark Gable,Claudette Colbert,Walter Connolly"
The 400 Blows,1h 39m,1959,8.1,121K,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama","Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Jean-Pierre Léaud,Albert Rémy,Claire Maurier"
The Sound of Music,2h 52m,1965,8.1,243K,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family","Georg Hurdalek,Howard Lindsay,Russel Crouse,Julie Andrews,Christopher Plummer,Eleanor Parker,Georg Hurdalek,Howard Lindsay,Russel Crouse,Julie Andrews,Christopher Plummer,Eleanor Parker"
The Handmaiden,2h 25m,2016,8.1,155K,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller","Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Kim Min-hee,Ha Jung-woo,Cho Jin-woong"
Cool Hand Luke,2h 7m,1967,8.1,181K,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama","Paul Newman,George Kennedy,Strother Martin,Paul Newman,George Kennedy,Strother Martin"
Rebecca,2h 10m,1940,8.1,140K,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Film-Noir,Mystery","Daphne Du Maurier,Robert E. Sherwood,Joan Harrison,Laurence Olivier,Joan Fontaine,George Sanders,Daphne Du Maurier,Robert E. Sherwood,Joan Harrison,Laurence Olivier,Joan Fontaine,George Sanders"
Amores Perros,2h 34m,2000,8.1,245K,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller","Emilio Echevarría,Gael García Bernal,Goya Toledo,Emilio Echevarría,Gael García Bernal,Goya Toledo"
My Father and My Son,1h 52m,2005,8.2,88K,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family","Çetin Tekindor,Fikret Kuskan,Hümeyra,Çetin Tekindor,Fikret Kuskan,Hümeyra"
Jai Bhim,2h 44m,2021,8.8,206K,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime,Drama,Mystery","Suriya,Lijo Mol Jose,Manikandan K.,Suriya,Lijo Mol Jose,Manikandan K."
The Grapes of Wrath,2h 9m,1940,8.1,96K,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,"Henry Fonda,Jane Darwell,John Carradine,Henry Fonda,Jane Darwell,John Carradine"
The Battle of Algiers,2h 1m,1966,8.1,62K,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War","Brahim Hadjadj,Jean Martin,Yacef Saadi,Brahim Hadjadj,Jean Martin,Yacef Saadi"
Hachi: A Dog's Tale,1h 33m,2009,8.1,293K,A college professor bonds with an abandoned dog he takes into his home.,"Biography,Drama,Family","Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa"
Pather Panchali,2h 5m,1955,8.2,35K,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,2003,8.1,1.1M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action,Adventure,Fantasy","Ted Elliott,Terry Rossio,Stuart Beattie,Johnny Depp,Geoffrey Rush,Orlando Bloom,Ted Elliott,Terry Rossio,Stuart Beattie,Johnny Depp,Geoffrey Rush,Orlando Bloom"
La haine,1h 38m,1995,8.1,180K,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama","Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui"
To Be or Not to Be,1h 39m,1942,8.2,39K,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War","Carole Lombard,Jack Benny,Robert Stack,Carole Lombard,Jack Benny,Robert Stack"
The Incredibles,1h 55m,2004,8.0,756K,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation,Action,Adventure","Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Craig T. Nelson,Samuel L. Jackson,Holly Hunter"
Groundhog Day,1h 41m,1993,8.0,647K,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","Comedy,Drama,Fantasy","Bill Murray,Andie MacDowell,Chris Elliott,Bill Murray,Andie MacDowell,Chris Elliott"
The Exorcist,2h 2m,1973,8.1,418K,"When a 12 year old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",Horror,"Ellen Burstyn,Max von Sydow,Linda Blair,Ellen Burstyn,Max von Sydow,Linda Blair"
The Best Years of Our Lives,2h 50m,1946,8.1,67K,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama,Romance,War","Myrna Loy,Dana Andrews,Fredric March,Myrna Loy,Dana Andrews,Fredric March"
The Wizard of Oz,1h 42m,1939,8.1,408K,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Adventure,Family,Fantasy","Victor Fleming,George Cukor,Mervyn LeRoy,Noel Langley,Florence Ryerson,Edgar Allan Woolf,Judy Garland,Frank Morgan,Ray Bolger,Victor Fleming,George Cukor,Mervyn LeRoy,Noel Langley,Florence Ryerson,Edgar Allan Woolf,Judy Garland,Frank Morgan,Ray Bolger"
Into the Wild,2h 28m,2007,8.1,633K,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Adventure,Biography,Drama","Emile Hirsch,Vince Vaughn,Catherine Keener,Emile Hirsch,Vince Vaughn,Catherine Keener"
Before Sunset,1h 20m,2004,8.1,272K,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance","Richard Linklater,Julie Delpy,Ethan Hawke,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Richard Linklater,Julie Delpy,Ethan Hawke,Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
Network,2h 1m,1976,8.1,163K,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,"Faye Dunaway,William Holden,Peter Finch,Faye Dunaway,William Holden,Peter Finch"
Rush,2h 3m,2013,8.1,489K,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama","Daniel Brühl,Chris Hemsworth,Olivia Wilde,Daniel Brühl,Chris Hemsworth,Olivia Wilde"
Stand by Me,1h 29m,1986,8.1,414K,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure,Drama","Wil Wheaton,River Phoenix,Corey Feldman,Wil Wheaton,River Phoenix,Corey Feldman"
The Terminator,1h 47m,1984,8.1,881K,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Action,Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn"
Logan,2h 17m,2017,8.1,782K,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action,Drama,Sci-Fi","James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen,James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen"
